2009,Linas,Klimavičius,7,5,0,1,0,0,13,283,50.00%,Honourable,mention
2009,Greta,Kuprijanovaitė,7,2,0,5,6,0,20,190,66.49%,Bronze,medal
2009,Edvard,Poliakov,7,0,0,0,0,0,7,393,30.50%,Honourable,mention
2008,Vytautas,Gruslys,7,5,0,7,7,0,26,78,85.58%,Silver,medal
2008,Julius,Jonušas,7,1,0,0,0,0,8,368,31.27%,Honourable,mention
2008,Vaidotas,Juronis,7,1,0,4,0,0,12,297,44.57%,Honourable,mention
2008,Vaidotas,Kurlianskas,5,5,0,7,1,0,18,186,65.36%,Bronze,medal
2008,Jonas,Pauliukevičius,7,2,0,4,0,0,13,284,47.00%,Honourable,mention
2008,Gytis,Žilinskas,7,1,0,6,1,0,15,238,55.62%,Bronze,medal
2007,Aistis,Atminas,7,1,0,7,1,0,16,171,67.24%,Bronze,medal
2007,Kęstutis,Česnavičius,7,7,0,7,7,1,29,28,94.80%,Gold,medal
2007,Vytautas,Gruslys,7,1,0,7,1,0,16,171,67.24%,Bronze,medal
2007,Vaidotas,Juronis,6,0,0,6,0,0,12,266,48.94%
2007,Laurynas,Mikšys,1,0,0,6,1,0,8,365,29.87%
2007,Gytis,Žilinskas,3,0,1,7,0,0,11,293,43.74%,Honourable,mention
2006,Daumilas,Ardickas,7,7,0,7,0,0,21,98,80.48%,Silver,medal
2006,Aistis,Atminas,0,7,0,6,0,0,13,291,41.65%,Honourable,mention
2006,Kęstutis,Česnavičius,7,1,0,7,3,0,18,132,73.64%,Bronze,medal
2006,Vytautas,Gruslys,7,0,0,6,0,0,13,291,41.65%,Honourable,mention
2006,Laurynas,Mikšys,7,0,1,7,0,0,15,189,62.17%,Bronze,medal
2006,Jonas,Šukys,7,1,0,6,0,0,14,254,49.09%,Honourable,mention
2005,Daumilas,Ardickas,7,7,0,7,0,1,22,122,76.37%,Bronze,medal
2005,Aistis,Atminas,2,1,0,7,0,1,11,249,51.56%,Honourable,mention
2005,Vaida,Dovydenaite,0,1,0,7,1,0,9,277,46.09%,Honourable,mention
2005,Vytautas,Gruslys,0,0,0,1,0,0,1,445,13.28%
2005,Vytautas,Stepanauskas,0,0,0,7,0,0,7,322,37.30%,Honourable,mention
2005,Stanislav,Surin,2,1,0,0,0,0,3,368,28.32%
2004,Daumilas,Ardickas,0,0,7,0,0,0,7,367,24.54%,Honourable,mention
2004,Ignas,Budvytis,0,3,0,7,0,2,12,281,42.27%,Honourable,mention
2004,Daugirdas,Kuprionis,0,2,1,0,0,0,3,424,12.78%
2004,Paulius,Šarka,6,0,2,7,0,0,15,244,49.90%,Honourable,mention
2004,Vytautas,Stepanauskas,6,0,1,7,0,0,14,264,45.77%,Honourable,mention
2004,Albertas,Zinevicius,6,1,0,7,0,0,14,264,45.77%,Honourable,mention
2003,Ignas,Budvytis,0,3,0,0,1,0,4,363,20.61%
2003,Zymantas,Darbenas,0,1,0,7,0,0,8,292,36.18%,Honourable,mention
2003,Jonas,Kubilius,0,0,0,1,0,0,1,427,6.58%
2003,Paulius,Šarka,7,0,0,1,0,0,8,292,36.18%,Honourable,mention
2003,Matas,Sileikis,5,1,0,7,1,0,14,179,60.96%,Bronze,medal
2003,Andrius,Stankevicius,7,0,0,7,0,0,14,179,60.96%,Bronze,medal
2002,Ignas,Budvytis,0,0,0,6,1,0,7,334,30.33%
2002,Zymantas,Darbenas,7,3,0,7,0,0,17,177,63.18%,Bronze,medal
2002,Jonas,Kubilius,0,0,0,7,0,0,7,334,30.33%,Honourable,mention
2002,Aivaras,Novikas,7,7,1,7,1,0,23,99,79.50%,Silver,medal
